Wave number,Location,LAT,LON,Province,Korean Name,Date,Time,Source
First Wave,"Jecheon, North Chungcheong Province",37.1326042,128.1913508,Chungcheongbuk Province,제천,"May 29, 2024",2:00 PM,
First Wave,"Junggak-dong, Jongno-gu",37.5729,126.97928,Seoul Special City,서울 종로구 중학동,"May 29, 2024",,https://www.hankyung.com/article/2024052919367
First Wave,"60 Sajik-ro 8-gil, Jongno District, Seoul, South Korea",37.566,126.9784,Seoul Special City,외교부 청사,"May 29, 2024",,https://www.donga.com/news/Society/article/all/20240529/125175628/1
First Wave,"Hwangdae-ri, Dumamyeon, Gyeryong-si, Chungcheongnam-do",36.29037,127.22768,Chungcheongnam Province, 충남 계룡시 두마면 황대리,"May 29, 2024",,https://www.yna.co.kr/view/AKR20240529147200063?input=1195m
First Wave,"6 Yulgok-ro, Jongno District, Seoul, South Korea",37.566,126.9784,Seoul Special City,주한 일본대사관 입주 건물,"May 29, 2024",,https://www.yna.co.kr/view/AKR20240530114000073?input=1195m
Second Wave,"Yangcheon-gu, Seoul",37.5171,126.8663,Seoul Special City,양천구,"June 1, 2024",,https://www.yna.co.kr/view/AKR20240601046301004?input=1195m
Second Wave,Yeongdeungpo-gu,37.5262,126.8959,Seoul Special City,영등포구,"June 1, 2024",,https://www.yna.co.kr/view/AKR20240601046301004?input=1195m
Second Wave,Mapo-gu,38.0028804,127.0016095,Seoul Special City,마포구,"June 1, 2024",,https://www.yna.co.kr/view/AKR20240601046301004?input=1195m
Second Wave,"Goyang City, Northern Gyeonggi Province",37.70697307,126.8484995,Gyeonggi Province, 경기북부 고양,"June 2, 2024",,https://www.newsis.com/view/?id=NISX20240602_0002757567&cID=10817&pID=14000
Second Wave,Gyeonggi Paju,37.7598955,126.7801502,Gyeonggi Province,경기 파주,"June 2, 2024",,https://www.newsis.com/view/?id=NISX20240602_0002757567&cID=10817&pID=14000
Second Wave,Gyeonggi Yangju,37.7849312,127.0457771,Gyeonggi Province,경기 양주,"June 2, 2024",,https://www.newsis.com/view/?id=NISX20240602_0002757567&cID=10817&pID=14000
